Description,Rule set,Rule,,,,,,Rule set,Rule
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'otherExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'otherExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'inSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'inSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'inSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'outSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'outSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'outSchService' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'asCommitMem' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'asCommitMem' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'asCommitMem' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'scholarExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'scholarExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'scholarExp' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Local variable 'i' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newSmt' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'sql' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'infoList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherEduInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherExpInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherSpeInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherAwardInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherPlanInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherStuPaper' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherStuTopic' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'out' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'teacherOtherInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'dc_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'class_sche' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'div_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'dc_class' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'filepath' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'articleid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'articlecontent' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
The field name indicates a constant but its modifiers do not,Naming,SuspiciousConstantFieldName,,,,,,,
Parameter 'sche_cont' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'div_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'cOUNT' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'plan_name' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scheduleplanid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'year' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'semester' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'plan_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Too many fields,Code Size,TooManyFields,,,,,,,
Parameter 'files' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'assitantworkList' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'assitantwork' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'work' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'workList' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'workContent' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'tea_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'tea_en_name' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid naming non-fields with the prefix m_,Naming,MisleadingVariableName,,,,,,,
Parameter 'm_name' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'post_name' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid naming non-fields with the prefix m_,Naming,MisleadingVariableName,,,,,,,
Parameter 'm_ldap' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid naming non-fields with the prefix m_,Naming,MisleadingVariableName,,,,,,,
Parameter 'm_phone' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid naming non-fields with the prefix m_,Naming,MisleadingVariableName,,,,,,,
Parameter 'm_email' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'location' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid naming non-fields with the prefix m_,Naming,MisleadingVariableName,,,,,,,
Parameter 'm_dep_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'tea_sort' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherType' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'tea_able' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'tea_photo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'asistantWorkID' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teachercode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'workContent' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'ar_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'award_cont' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'ar_title' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'files' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'files' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'file_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'file_url' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'di_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'di_name' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'dic_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'dic_name' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'dic_cont' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'dic_cont_en' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'files' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
